price,brand,model,year_model,mileage,gear,fuel,bodywork,city,state,age_years,price_deviation,brand_avg_price,state_avg_price,city_avg_price,is_luxury_brand
22290000.0,BMW,320I,2020,21193.0,AUTOMATICO,GASOLINA,COUPE,FORTALEZA,CE,5,-350000.0,21954352.83018868,12111633.333333334,12461785.714285715,1
22259000.0,BMW,320I,2021,55343.0,AUTOMATICO,FLEX,SEDAN,SAO PAULO,SP,4,-332750.0,21954352.83018868,9799506.052422557,9694394.39163498,1
22259000.0,BMW,320I,2021,55343.0,AUTOMATICO,FLEX,SEDAN,SAO PAULO,SP,4,-332750.0,21954352.83018868,9799506.052422557,9694394.39163498,1
22259000.0,BMW,320I,2021,55343.0,AUTOMATICO,FLEX,SEDAN,SAO PAULO,SP,4,-332750.0,21954352.83018868,9799506.052422557,9694394.39163498,1
21879000.0,BMW,320I,2022,67605.0,AUTOMATICO,FLEX,SEDAN,SAO PAULO,SP,3,-3445833.333333332,21954352.83018868,9799506.052422557,9694394.39163498,1
4399000.0,VOLKSWAGEN,UP,2016,79000.0,MANUAL,FLEX,HATCH,BELEM,PA,9,-595500.0,10100532.564450474,6496750.0,6932333.333333333,0
21689000.0,JEEP,COMPASS,2023,7016.0,AUTOMATICO,FLEX,SUV,CONTAGEM,MG,2,7238210.0,13083418.585858585,10169664.930924548,10400953.781512605,0
21689000.0,JEEP,COMPASS,2023,7016.0,AUTOMATICO,FLEX,SUV,CONTAGEM,MG,2,7238210.0,13083418.585858585,10169664.930924548,10400953.781512605,0
21609000.0,JEEP,COMMANDER,2023,25540.0,AUTOMATICO,DIESEL,SUV,SAO CAETANO DO SUL,SP,2,3046583.333333332,13083418.585858585,9799506.052422557,10122714.285714285,0
21609000.0,JEEP,COMMANDER,2023,25540.0,AUTOMATICO,DIESEL,SUV,SANTO ANDRE,SP,2,3046583.333333332,13083418.585858585,9799506.052422557,10063042.537313433,0
21250000.0,BMW,320I,2022,67605.0,AUTOMATICO,FLEX,SEDAN,SAO PAULO,SP,3,-4074833.333333332,21954352.83018868,9799506.052422557,9694394.39163498,1
21189000.0,JEEP,COMMANDER,2022,14529.0,AUTOMATICO,DIESEL,SUV,SAO PAULO,SP,3,1673866.666666668,13083418.585858585,9799506.052422557,9694394.39163498,0
21189000.0,JEEP,COMMANDER,2022,14529.0,AUTOMATICO,DIESEL,SUV,SAO PAULO,SP,3,1673866.666666668,13083418.585858585,9799506.052422557,9694394.39163498,0
21079000.0,AUDI,Q3,2021,35336.0,AUTOMATICO,GASOLINA,SUV,SAO PAULO,SP,4,515000.0,24709242.10526316,9799506.052422557,9694394.39163498,0
21039000.0,JEEP,COMMANDER,2022,33410.0,AUTOMATICO,DIESEL,SUV,SAO CAETANO DO SUL,SP,3,1523866.666666668,13083418.585858585,9799506.052422557,10122714.285714285,0
21039000.0,JEEP,COMMANDER,2022,32434.0,AUTOMATICO,DIESEL,SUV,SAO PAULO,SP,3,1523866.666666668,13083418.585858585,9799506.052422557,9694394.39163498,0
6990000.0,RENAULT,DUSTER OROCH,2019,128000.0,MANUAL,FLEX,PICAPE CABINE DUPLA,ANAPOLIS,GO,6,0.0,8993171.56626506,18843937.77027027,13436147.05882353,0
6990000.0,FIAT,STRADA,2019,104000.0,MANUAL,FLEX,PICAPE CABINE DUPLA,ANAPOLIS,GO,6,-103000.0,8808720.06633499,18843937.77027027,13436147.05882353,0
6490000.0,HYUNDAI,HB20X,2016,135875.0,AUTOMATICO,FLEX,HATCH,ANAPOLIS,GO,9,0.0,8349066.613162119,18843937.77027027,13436147.05882353,0
6400000.0,FIAT,MOBI,2024,0.0,MANUAL,FLEX,HATCH,BRASILIA,DF,1,-249250.0,8808720.06633499,11488232.786885247,11488232.786885247,0
6390000.0,FORD,KA,2018,86000.0,MANUAL,FLEX,HATCH,BELO HORIZONTE,MG,7,550000.0,11046331.914893618,10169664.930924548,9939429.85553772,0
6290000.0,PEUGEOT,208,2022,48000.0,MANUAL,FLEX,HATCH,GUARULHOS,SP,3,-1036111.111111111,10124348.75,9799506.052422557,7194304.347826087,0
6090000.0,CHEVROLET,CRUZE,2013,93000.0,AUTOMATICO,FLEX,SEDAN,ANAPOLIS,GO,12,0.0,9845740.728643216,18843937.77027027,13436147.05882353,0
5950000.0,FIAT,ARGO,2021,65000.0,MANUAL,FLEX,HATCH,SIMOES FILHO,BA,4,-406666.666666667,8808720.06633499,7261750.0,5950000.0,0
5890000.0,HONDA,CITY,2012,85733.0,AUTOMATICO,FLEX,HATCH,FORTALEZA,CE,13,0.0,11329637.5,12111633.333333334,12461785.714285715,0
5790000.0,FIAT,ARGO,2018,81000.0,MANUAL,FLEX,HATCH,ANAPOLIS,GO,7,0.0,8808720.06633499,18843937.77027027,13436147.05882353,0
5599000.0,CHEVROLET,ONIX,2019,66547.0,MANUAL,FLEX,HATCH,BELEM,PA,6,-1594250.0,9845740.728643216,6496750.0,6932333.333333333,0
5599000.0,VOLKSWAGEN,GOL,2023,27246.0,MANUAL,FLEX,HATCH,ANAPOLIS,GO,2,0.0,10100532.564450474,18843937.77027027,13436147.05882353,0
5399000.0,VOLKSWAGEN,NEW BEETLE,2009,133800.0,AUTOMATICO,GASOLINA,HATCH,SOROCABA,SP,16,0.0,10100532.564450474,9799506.052422557,11105214.814814815,0
5099000.0,VOLKSWAGEN,GOL,2020,65000.0,MANUAL,FLEX,HATCH,MACEIO,AL,5,249500.0,10100532.564450474,7725018.518518519,7725018.518518519,0
4890000.0,HYUNDAI,HB20S,2014,300.0,MANUAL,FLEX,SEDAN,ANAPOLIS,GO,11,0.0,8349066.613162119,18843937.77027027,13436147.05882353,0
4490000.0,VOLKSWAGEN,GOL,2019,75000.0,MANUAL,FLEX,HATCH,ANAPOLIS,GO,6,-323000.0,10100532.564450474,18843937.77027027,13436147.05882353,0
19969000.0,MITSUBISHI,L200 TRITON,2022,75413.0,AUTOMATICO,DIESEL,PICAPE CABINE DUPLA,BELO HORIZONTE,MG,3,822500.0,12156232.558139535,10169664.930924548,9939429.85553772,0
